timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
10/04/2024 12:10,716,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,180,0,0
10/04/2024 12:10,2529,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,TRUE,,140633,245,8,8,http://lifecharger.eu/about/,1632,0,179
10/04/2024 12:10,1632,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,TRUE,,447,122,8,8,http://lifecharger.eu/about,1632,0,179
10/04/2024 12:10,898,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,182,0,0
10/04/2024 12:10,2681,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,TRUE,,140633,245,8,8,http://lifecharger.eu/about/,1748,0,178
10/04/2024 12:10,1748,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,TRUE,,447,122,8,8,http://lifecharger.eu/about,1748,0,178
10/04/2024 12:10,934,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,183,0,0
10/04/2024 12:10,2697,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,TRUE,,140633,245,8,8,http://lifecharger.eu/about/,1757,0,185
10/04/2024 12:10,1757,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,TRUE,,447,122,8,8,http://lifecharger.eu/about,1757,0,185
10/04/2024 12:10,940,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,222,0,0
10/04/2024 12:10,2713,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,TRUE,,140633,245,8,8,http://lifecharger.eu/about/,1823,0,179
10/04/2024 12:10,1823,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,TRUE,,447,122,8,8,http://lifecharger.eu/about,1823,0,179
10/04/2024 12:10,890,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,184,0,0
10/04/2024 12:10,2742,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,TRUE,,140633,245,8,8,http://lifecharger.eu/about/,1835,0,179
10/04/2024 12:10,1835,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,TRUE,,447,122,8,8,http://lifecharger.eu/about,1835,0,179
10/04/2024 12:10,908,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,193,0,0
10/04/2024 12:10,2555,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,TRUE,,140633,245,10,10,http://lifecharger.eu/about/,1643,0,181
10/04/2024 12:10,1643,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,TRUE,,447,122,10,10,http://lifecharger.eu/about,1643,0,181
10/04/2024 12:10,912,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,TRUE,,140186,123,10,10,http://lifecharger.eu/about/,194,0,0
10/04/2024 12:10,2072,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,TRUE,,140633,245,10,10,http://lifecharger.eu/about/,1190,0,176
10/04/2024 12:10,1190,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,TRUE,,447,122,10,10,http://lifecharger.eu/about,1190,0,176
10/04/2024 12:10,882,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,TRUE,,140186,123,10,10,http://lifecharger.eu/about/,181,0,0
10/04/2024 12:10,1511,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,TRUE,,140633,245,10,10,http://lifecharger.eu/about/,786,0,180
10/04/2024 12:10,786,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,TRUE,,447,122,10,10,http://lifecharger.eu/about,786,0,180
10/04/2024 12:10,724,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,TRUE,,140186,123,10,10,http://lifecharger.eu/about/,185,0,0
10/04/2024 12:10,2731,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,TRUE,,140633,245,10,10,http://lifecharger.eu/about/,1787,0,179
10/04/2024 12:10,1787,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,TRUE,,447,122,10,10,http://lifecharger.eu/about,1787,0,179
10/04/2024 12:10,943,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,TRUE,,140186,123,10,10,http://lifecharger.eu/about/,219,0,0
10/04/2024 12:10,2740,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,TRUE,,140633,245,9,9,http://lifecharger.eu/about/,1832,0,180
10/04/2024 12:10,1832,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,TRUE,,447,122,9,9,http://lifecharger.eu/about,1832,0,180
10/04/2024 12:10,908,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,TRUE,,140186,123,9,9,http://lifecharger.eu/about/,187,0,0
10/04/2024 12:10,3031,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,TRUE,,140633,245,8,8,http://lifecharger.eu/about/,2132,0,182
10/04/2024 12:10,2132,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,TRUE,,447,122,8,8,http://lifecharger.eu/about,2132,0,182
10/04/2024 12:10,899,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,TRUE,,140186,123,8,8,http://lifecharger.eu/about/,185,0,0
10/04/2024 12:10,3448,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,TRUE,,140633,245,7,7,http://lifecharger.eu/about/,2541,0,176
10/04/2024 12:10,2541,HTTP Request-0,301,Moved Permanently,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,TRUE,,447,122,7,7,http://lifecharger.eu/about,2541,0,176
10/04/2024 12:10,906,HTTP Request-1,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,TRUE,,140186,123,7,7,http://lifecharger.eu/about/,205,0,0
